movieId,title,genres,rating_count,average_rating,imdbId,tmdbId,imdb_url
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,215,3.9209302325581397,114709,862.0,https://www.imdb.com/title/tt114709
2,Jumanji (1995),Adventure|Children|Fantasy,110,3.4318181818181817,113497,8844.0,https://www.imdb.com/title/tt113497
3,Grumpier Old Men (1995),Comedy|Romance,52,3.2596153846153846,113228,15602.0,https://www.imdb.com/title/tt113228
6,Heat (1995),Action|Crime|Thriller,102,3.946078431372549,113277,949.0,https://www.imdb.com/title/tt113277
7,Sabrina (1995),Comedy|Romance,54,3.185185185185185,114319,11860.0,https://www.imdb.com/title/tt114319
10,GoldenEye (1995),Action|Adventure|Thriller,132,3.496212121212121,113189,710.0,https://www.imdb.com/title/tt113189
11,"American President, The (1995)",Comedy|Drama|Romance,70,3.6714285714285713,112346,9087.0,https://www.imdb.com/title/tt112346
16,Casino (1995),Crime|Drama,82,3.926829268292683,112641,524.0,https://www.imdb.com/title/tt112641
17,Sense and Sensibility (1995),Drama|Romance,67,3.7761194029850746,114388,4584.0,https://www.imdb.com/title/tt114388
19,Ace Ventura: When Nature Calls (1995),Comedy,88,2.727272727272727,112281,9273.0,https://www.imdb.com/title/tt112281
21,Get Shorty (1995),Comedy|Crime|Thriller,89,3.49438202247191,113161,8012.0,https://www.imdb.com/title/tt113161
25,Leaving Las Vegas (1995),Drama|Romance,76,3.625,113627,451.0,https://www.imdb.com/title/tt113627
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,177,3.983050847457627,114746,63.0,https://www.imdb.com/title/tt114746
34,Babe (1995),Children|Drama,128,3.65234375,112431,9598.0,https://www.imdb.com/title/tt112431
36,Dead Man Walking (1995),Crime|Drama,67,3.8358208955223883,112818,687.0,https://www.imdb.com/title/tt112818
39,Clueless (1995),Comedy|Romance,104,3.293269230769231,112697,9603.0,https://www.imdb.com/title/tt112697
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,203,3.9753694581280787,114369,807.0,https://www.imdb.com/title/tt114369
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,68,3.1470588235294117,114148,10530.0,https://www.imdb.com/title/tt114148
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,204,4.237745098039215,114814,629.0,https://www.imdb.com/title/tt114814
62,Mr. Holland's Opus (1995),Drama,80,3.70625,113862,2054.0,https://www.imdb.com/title/tt113862
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,55,3.5090909090909093,116367,755.0,https://www.imdb.com/title/tt116367
95,Broken Arrow (1996),Action|Adventure|Thriller,84,3.0238095238095237,115759,9208.0,https://www.imdb.com/title/tt115759
104,Happy Gilmore (1996),Comedy,99,3.4393939393939394,116483,9614.0,https://www.imdb.com/title/tt116483
110,Braveheart (1995),Action|Drama|War,237,4.031645569620253,112573,197.0,https://www.imdb.com/title/tt112573
111,Taxi Driver (1976),Crime|Drama|Thriller,104,4.105769230769231,75314,103.0,https://www.imdb.com/title/tt75314
141,"Birdcage, The (1996)",Comedy,86,3.494186046511628,115685,11000.0,https://www.imdb.com/title/tt115685
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,51,3.2450980392156863,112442,9737.0,https://www.imdb.com/title/tt112442
150,Apollo 13 (1995),Adventure|Drama|IMAX,201,3.845771144278607,112384,568.0,https://www.imdb.com/title/tt112384
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,137,2.9160583941605838,112462,414.0,https://www.imdb.com/title/tt112462
158,Casper (1995),Adventure|Children,62,2.806451612903226,112642,8839.0,https://www.imdb.com/title/tt112642
